Display year ending,Local Government Area,Year,Rate per 100000 population
Year ending December,Total,2019,32229.2
Year ending December, Yarriambiack,2019,7260.9
Year ending December, Yarra Ranges,2019,5771.3
Year ending December, Yarra,2019,13441.3
Year ending December, Wyndham,2019,6213.4
Year ending December, Wodonga,2019,8865.6
Year ending December, Whittlesea,2019,7134.7
Year ending December, Whitehorse,2019,5171.3
Year ending December, West Wimmera,2019,4400.5
Year ending December, Wellington,2019,10373.7
Year ending December, Warrnambool,2019,9827.6
Year ending December, Wangaratta,2019,8623.6
Year ending December, Towong,2019,3555.4
Year ending December, Swan Hill,2019,12684.0
Year ending December, Surf Coast,2019,3771.2
Year ending December, Strathbogie,2019,5872.8
Year ending December, Stonnington,2019,9937.7
Year ending December, Southern Grampians,2019,7554.1
Year ending December, South Gippsland,2019,5827.7
Year ending December, Queenscliffe,2019,3860.6
Year ending December, Pyrenees,2019,8957.8
Year ending December, Port Phillip,2019,10868.0
Year ending December, Northern Grampians,2019,9735.2
Year ending December, Nillumbik,2019,3425.6
Year ending December, Murrindindi,2019,5521.3
Year ending December, Moyne,2019,4034.1
Year ending December, Mount Alexander,2019,6230.3
Year ending December, Mornington Peninsula,2019,6698.8
Year ending December, Moreland,2019,7736.7
Year ending December, Moorabool,2019,6054.5
Year ending December, Moonee Valley,2019,6362.0
Year ending December, Monash,2019,5778.4
Year ending December, Moira,2019,8508.9
Year ending December, Mitchell,2019,10432.2
Year ending December, Mildura,2019,13302.3
Year ending December, Melton,2019,7661.0
Year ending December, Melbourne,2019,20030.3
Year ending December, Maroondah,2019,6858.4
Year ending December, Maribyrnong,2019,9446.7
Year ending December, Mansfield,2019,5158.2
Year ending December, Manningham,2019,4045.0
Year ending December, Macedon Ranges,2019,4870.6
Year ending December, Loddon,2019,6335.2
Year ending December, Latrobe,2019,18523.0
Year ending December, Knox,2019,7264.2
Year ending December, Kingston,2019,7332.1
Year ending December, Indigo,2019,3601.6
Year ending December, Hume,2019,9204.3
Year ending December, Horsham,2019,9783.2
Year ending December, Hobsons Bay,2019,6376.7
Year ending December, Hindmarsh,2019,5927.4
Year ending December, Hepburn,2019,5485.6
Year ending December, Greater Shepparton,2019,13257.1
Year ending December, Greater Geelong,2019,8404.1
Year ending December, Greater Dandenong,2019,11191.2
Year ending December, Greater Bendigo,2019,9688.3
Year ending December, Golden Plains,2019,2748.8
Year ending December, Glenelg,2019,8576.2
Year ending December, Glen Eira,2019,4749.0
Year ending December, Gannawarra,2019,7857.9
Year ending December, Frankston,2019,10417.3
Year ending December, East Gippsland,2019,10356.7
Year ending December, Darebin,2019,8854.9
Year ending December, Corangamite,2019,4047.9
Year ending December, Colac-Otway,2019,7630.2
Year ending December, Central Goldfields,2019,10620.8
Year ending December, Casey,2019,6384.5
Year ending December, Cardinia,2019,5904.7
Year ending December, Campaspe,2019,10501.8
Year ending December, Buloke,2019,4884.3
Year ending December, Brimbank,2019,9410.5
Year ending December, Boroondara,2019,4441.1
Year ending December, Benalla,2019,9297.0
Year ending December, Bayside,2019,4776.0
Year ending December, Baw Baw,2019,8950.2
Year ending December, Bass Coast,2019,6923.8
Year ending December, Banyule,2019,7247.3
Year ending December, Ballarat,2019,10742.9
Year ending December, Ararat,2019,10639.9
Year ending December, Alpine,2019,4460.5
Year ending December,Total,2018,31387.6
Year ending December, Yarriambiack,2018,7539.8
Year ending December, Yarra Ranges,2018,4841.5
Year ending December, Yarra,2018,13887.4
Year ending December, Wyndham,2018,5665.0
Year ending December, Wodonga,2018,7743.4
Year ending December, Whittlesea,2018,6992.6
Year ending December, Whitehorse,2018,4655.0
Year ending December, West Wimmera,2018,4298.3
Year ending December, Wellington,2018,9096.1
Year ending December, Warrnambool,2018,11339.0
Year ending December, Wangaratta,2018,8213.3
Year ending December, Towong,2018,3501.8
Year ending December, Swan Hill,2018,12168.2
Year ending December, Surf Coast,2018,3677.4
Year ending December, Strathbogie,2018,5674.0
Year ending December, Stonnington,2018,9283.4
Year ending December, Southern Grampians,2018,9687.0
Year ending December, South Gippsland,2018,4885.7
Year ending December, Queenscliffe,2018,10161.0
Year ending December, Pyrenees,2018,6813.5
Year ending December, Port Phillip,2018,11598.1
Year ending December, Northern Grampians,2018,8634.4
Year ending December, Nillumbik,2018,3242.9
Year ending December, Murrindindi,2018,4945.4
Year ending December, Moyne,2018,3138.5
Year ending December, Mount Alexander,2018,4509.6
Year ending December, Mornington Peninsula,2018,6513.0
Year ending December, Moreland,2018,8009.9
Year ending December, Moorabool,2018,7146.2
Year ending December, Moonee Valley,2018,6736.6
Year ending December, Monash,2018,5166.5
Year ending December, Moira,2018,7104.3
Year ending December, Mitchell,2018,9751.9
Year ending December, Mildura,2018,13218.0
Year ending December, Melton,2018,6809.9
Year ending December, Melbourne,2018,21270.2
Year ending December, Maroondah,2018,6902.2
Year ending December, Maribyrnong,2018,9230.0
Year ending December, Mansfield,2018,5345.8
Year ending December, Manningham,2018,3475.5
Year ending December, Macedon Ranges,2018,4721.8
Year ending December, Loddon,2018,6522.0
Year ending December, Latrobe,2018,19424.0
